dataset,model,seed,iter,best_score,hyperparams
wind,COA-BiLSTM,42,0,0.2474,"{""hidden_dim"":64,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.2}"
wind,COA-BiLSTM,42,1,0.2669,"{""hidden_dim"":66,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.203}"
wind,COA-BiLSTM,42,2,0.3122,"{""hidden_dim"":68,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.20600000000000002}"
wind,COA-BiLSTM,42,3,0.3205,"{""hidden_dim"":70,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.20900000000000002}"
wind,COA-BiLSTM,42,4,0.3419,"{""hidden_dim"":72,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.21200000000000002}"
wind,COA-BiLSTM,42,5,0.3594,"{""hidden_dim"":74,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.21500000000000002}"
wind,COA-BiLSTM,42,6,0.3751,"{""hidden_dim"":76,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.218}"
wind,COA-BiLSTM,42,7,0.3782,"{""hidden_dim"":78,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.221}"
wind,COA-BiLSTM,42,8,0.398,"{""hidden_dim"":80,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.224}"
wind,COA-BiLSTM,42,9,0.3909,"{""hidden_dim"":82,""num_layers"":2,""learning_rate"":0.001,""dropout"":0.227}"
wind,COA-BiLSTM,42,10,0.4187,"{""hidden_dim"":84,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.23}"
wind,COA-BiLSTM,42,11,0.4034,"{""hidden_dim"":86,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.233}"
wind,COA-BiLSTM,42,12,0.4416,"{""hidden_dim"":88,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.23600000000000002}"
wind,COA-BiLSTM,42,13,0.4322,"{""hidden_dim"":90,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.23900000000000002}"
wind,COA-BiLSTM,42,14,0.4376,"{""hidden_dim"":92,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.24200000000000002}"
wind,COA-BiLSTM,42,15,0.4753,"{""hidden_dim"":94,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.245}"
wind,COA-BiLSTM,42,16,0.4443,"{""hidden_dim"":96,""num_layers"":2,""learning_rate"":0.0009000000000000001,""dropout"":0.248}"
