model,mean_ms,p95_ms,std_ms,memory_mb,params
Ultra-LSNT(full),8.79495082423091,10.418968088924878,1.1032086938513923,0.14453125,267672.0
Ultra-LSNT-Lite(orig),4.632404167205095,5.389842018485067,0.4797074292165594,0.2109375,40344.0
Ultra-LSNT-Lite(opt),5.00746488571167,5.900161154568195,0.6171250140407184,0.0859375,18712.0
DLinear,0.1019650138914585,0.1048268750309944,0.0034280943422311,0.0,2328.0
TimeMixer,1.8110505305230613,2.1201904863119125,0.2353405751742986,0.15625,4248.0
iTransformer,1.3821213878691196,1.942608878016472,0.3705919474270164,0.1015625,4248.0
Mamba (auditable),0.5161161534488201,0.5326592363417149,0.0089866980906039,0.1456928253173828,35832.0
VMD-PSO-LSTM,0.8795446716248989,0.998567510396242,0.0673774127879721,0.120941162109375,31704.000000000004
CEEMDAN-WOA-GRU,3.64284796329836,3.66696510463953,0.0208909286513198,0.2705154418945312,70914.0
ARIMA (auditable),3.055398892611265,3.1065803952515108,0.0660354331246053,3.814697265625e-05,5.0
SVR (auditable),3.8120673317462206,3.873562626540661,0.0553515771814984,0.540985107421875,70908.0
SSA-ELM,0.0365548936480825,0.0435808673501014,0.0049918473844183,0.8107147216796875,106262.0
